episode,score,average score,best score
490,105.4,143.9,316.5
491,2.7,143.9,316.5
492,3.5,139.6,316.5
493,2.7,139.7,316.5
494,0.9,139.6,316.5
495,98.8,140.6,316.5
496,1507.5,155.7,316.5
497,3.5,155.7,316.5
498,63.1,155.4,316.5
499,0.9,155.4,316.5
500,3.5,155.4,316.5
501,0.9,155.4,316.5
502,2.7,149.1,316.5
503,3.5,147.0,316.5
504,0.9,142.5,316.5
505,0.9,142.5,316.5
506,3.5,142.5,316.5
507,2.7,142.6,316.5
508,1558.0,154.6,316.5
509,3.5,154.6,316.5
510,2.7,154.6,316.5
511,0.9,154.6,316.5
512,3.5,154.6,316.5
513,966.1,164.2,316.5
514,2.7,164.2,316.5
515,3.5,164.2,316.5
516,2.7,164.2,316.5
517,3.5,164.3,316.5
518,3.5,164.3,316.5
519,887.8,162.7,316.5
520,550.7,168.2,316.5
521,327.8,171.4,316.5
522,0.9,170.5,316.5
523,220.4,168.7,316.5
524,3.5,168.0,316.5
525,0.9,166.4,316.5
526,3.5,166.4,316.5
527,0.9,164.4,316.5
528,2.7,141.4,316.5
529,2.7,141.4,316.5
530,2.7,141.4,316.5
531,0.9,141.4,316.5
532,2.7,141.4,316.5
533,2.7,131.0,316.5
534,296.0,133.9,316.5
535,3.5,132.8,316.5
536,0.9,132.8,316.5
537,0.9,132.8,316.5
538,0.9,132.8,316.5
539,598.2,138.7,316.5
540,2.7,132.4,316.5
541,0.9,132.4,316.5
542,3.5,132.4,316.5
543,2.7,132.4,316.5
544,2.7,132.4,316.5
545,0.9,129.1,316.5
546,3.5,119.5,316.5
547,3.5,111.3,316.5
548,3.5,111.3,316.5
549,2.7,108.7,316.5
550,609.2,114.8,316.5
551,179.9,116.5,316.5
552,4.1,116.5,316.5
553,152.9,118.1,316.5
554,4.1,118.1,316.5
555,2.5,118.1,316.5
556,322.7,121.3,316.5
557,331.0,124.6,316.5
558,4.0,124.6,316.5
559,2375.1,148.3,316.5
560,63.1,148.9,316.5
561,2022.3,169.1,316.5
562,2883.2,197.9,316.5
563,10.0,193.6,316.5
564,1217.3,205.8,316.5
565,505.4,210.8,316.5
566,11.7,210.9,316.5
567,852.5,219.4,316.5
568,10.8,219.5,316.5
569,726.9,226.8,316.5
570,58.8,227.3,316.5
571,67.3,228.0,316.5
572,345.7,231.4,316.5
573,32.9,231.7,316.5
574,933.1,239.5,316.5
575,10.0,239.6,316.5
576,120.5,240.7,316.5
577,1718.9,241.3,316.5
578,9.0,241.3,316.5
579,60.2,241.9,316.5
580,12.4,242.0,316.5
581,113.3,243.1,316.5
582,32.1,243.4,316.5
583,59.6,244.0,316.5
584,3.5,244.0,316.5
585,663.4,238.4,316.5
586,1009.8,248.4,316.5
587,72.6,249.1,316.5
588,3.1,249.1,316.5
589,817.1,257.3,316.5
590,0.8,256.2,316.5
591,6.1,256.3,316.5
592,3.9,256.3,316.5
593,2.3,256.3,316.5
594,3.9,256.3,316.5
595,70.6,256.0,316.5
596,117.7,242.1,316.5
597,0.8,242.1,316.5
598,501.0,246.5,316.5
599,0.8,246.5,316.5
600,3.9,246.5,316.5
601,146.8,247.9,316.5
602,0.8,247.9,316.5
603,0.8,247.9,316.5
604,3.9,247.9,316.5
605,2.3,247.9,316.5
606,3.9,247.9,316.5
607,0.8,247.9,316.5
608,3.9,232.4,316.5
609,3.9,232.4,316.5
610,5.4,232.4,316.5
611,2.3,232.4,316.5
612,5.4,232.4,316.5
613,2.3,222.8,316.5
614,3.9,222.8,316.5
615,3.9,222.8,316.5
616,4.7,222.8,316.5
617,4.8,222.8,316.5
618,2.3,222.8,316.5
619,3.9,214.0,316.5
620,0.8,208.5,316.5
621,160.7,206.8,316.5
622,1145.8,218.3,316.5
623,0.8,216.1,316.5
624,6.4,216.1,316.5
625,79.9,216.9,316.5
626,2.3,216.9,316.5
627,91.8,217.8,316.5
628,5.6,217.8,316.5
629,5.5,217.9,316.5
630,2.3,217.9,316.5
631,0.8,217.9,316.5
632,4.0,217.9,316.5
633,5.6,217.9,316.5
634,3.9,215.0,316.5
635,6.4,215.0,316.5
636,5.6,215.0,316.5
637,5.5,215.1,316.5
638,2.3,215.1,316.5
639,2.4,209.2,316.5
640,0.8,209.1,316.5
641,1540.0,224.5,316.5
642,3.9,224.5,316.5
643,61.6,225.1,316.5
644,342.8,228.5,316.5
645,29.0,228.8,316.5
646,4.0,228.8,316.5
647,26.0,229.0,316.5
648,5.5,229.0,316.5
649,85.5,229.9,316.5
650,58.7,224.4,316.5
651,37.2,222.9,316.5
652,32.8,223.2,316.5
653,36.3,222.1,316.5
654,115.4,223.2,316.5
655,66.6,223.8,316.5
656,331.5,223.9,316.5
657,1.6,220.6,316.5
658,1.6,220.6,316.5
659,1044.9,207.3,316.5
660,7.2,206.7,316.5
661,4.7,186.6,316.5
662,11.0,157.8,316.5
663,7.9,157.8,316.5
664,8.0,145.7,316.5
665,7.1,140.7,316.5
666,1.6,140.6,316.5
667,26.7,132.4,316.5
668,78.1,133.0,316.5
669,101.3,126.8,316.5
670,4.8,126.3,316.5
671,51.1,126.1,316.5
672,33.1,123.0,316.5
673,31.3,122.9,316.5
674,37.9,114.0,316.5
675,95.0,114.8,316.5
676,398.6,117.6,316.5
677,28.4,100.7,316.5
678,70.7,101.3,316.5
679,169.7,102.4,316.5
680,94.8,103.3,316.5
681,30.4,102.4,316.5
682,26.4,102.4,316.5
683,1566.4,117.4,316.5
684,26.4,117.7,316.5
685,496.9,116.0,316.5
686,263.6,108.5,316.5
687,229.2,110.1,316.5
688,1356.6,123.6,316.5
