episode,score,average score,best score,epsilon,steps
476,21.74537537,35.00957445,68.36130096,0.975063,24968
477,58.00832059,35.22615988,68.36130096,0.974994,25037
478,21.66898558,35.01226736,68.36130096,0.974968,25063
479,16.1005153,34.58380034,68.36130096,0.974947,25084
480,12.5732164,34.61015382,68.36130096,0.974931,25100
481,11.13710403,34.32128183,68.36130096,0.974917,25114
482,41.42491913,34.53686645,68.36130096,0.974867,25164
483,35.4203007,34.59671256,68.36130096,0.974824,25207
484,60.720751,34.98574087,68.36130096,0.974751,25280
485,50.90827826,34.98824378,68.36130096,0.97469,25341
486,47.05918361,35.00250505,68.36130096,0.974632,25399
487,37.70082901,35.25120357,68.36130096,0.974586,25445
488,17.4072872,35.26435092,68.36130096,0.974564,25467
489,29.84829062,35.22957493,68.36130096,0.974527,25504
490,241.1557052,37.25562306,68.36130096,0.974236,25795
491,72.19850557,37.85084128,68.36130096,0.974147,25884
492,44.53190558,38.03883161,68.36130096,0.974093,25938
493,56.76464993,37.67731069,68.36130096,0.974025,26006
494,19.37480171,37.67448585,68.36130096,0.974001,26030
495,8.792190327,37.28474308,68.36130096,0.97399,26041
496,246.9831042,39.14818028,68.36130096,0.97369,26341
497,20.26313102,39.21586047,68.36130096,0.973665,26366
